frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
105,1.0,[2054.939336394538 1110.6095988092466 2560.5908332585545 1553.6469058313955],[2240.062744140625 1397.6748046875 2389.556396484375 1462.487548828125],0.25468409061431885,AF05JEO,0.22042994905943075
107,8.0,[1164.6338989384203 1049.6599210924896 1630.7849964893321 1449.0991856995665],[1337.1673583984375 1279.0565185546875 1464.218017578125 1348.322021484375],0.43677541613578796,LH05ZZK,0.07337588127324102
110,6.0,[927.6148882208017 1469.4652026783876 1664.046968712917 2047.766171728574],[1194.077392578125 1835.362060546875 1387.4686279296875 1911.812255859375],0.6381235122680664,GY15OGJ,0.2563499224604636
111,6.0,[925.9900803343868 1477.44036066089 1661.7875387797371 2057.2512507745096],[1184.48583984375 1843.5772705078125 1383.6474609375 1925.0592041015625],0.5813228487968445,GY15OGJ,0.7364840978277425
111,8.0,[1152.2817740863577 1057.931040019248 1624.994481094144 1470.0038971006843],[1316.9107666015625 1289.4947509765625 1463.1600341796875 1365.9083251953125],0.5364257097244263,KH35ZZK,0.22119012262910429
112,6.0,[924.587160551391 1483.0916385273558 1662.1378497627422 2064.0570854131925],[1189.6524658203125 1849.683837890625 1381.22900390625 1932.5438232421875],0.5908464789390564,GX15OCJ,0.33783896485757403
112,1.0,[2055.9668384144934 1133.01713180983 2569.916387598403 1580.6955611323497],[2234.853515625 1413.6746826171875 2377.3154296875 1489.0108642578125],0.38147473335266113,AP05JEC,0.2408594947109159
113,8.0,[1149.8793992993924 1061.0884588976576 1623.7981506213678 1475.7345261541202],[1312.05810546875 1296.147216796875 1462.01416015625 1363.96484375],0.5191560387611389,KH05ZIR,0.5289257565518296
114,1.0,[2055.6512334393415 1138.5930947409875 2576.523742649591 1588.287708052359],[2237.6259765625 1428.197998046875 2398.43359375 1503.4273681640625],0.47118425369262695,AF05JEO,0.49428937094219155
115,1.0,[2053.897414224674 1140.2343646476143 2577.375992945093 1591.514343725431],[2235.607421875 1432.97021484375 2402.720458984375 1511.1434326171875],0.5025702118873596,AF05JEO,0.28438904257935443
117,8.0,[1147.139992723312 1072.0381779326956 1620.8542656616487 1485.567087359079],[1310.06591796875 1317.520751953125 1444.2232666015625 1376.7015380859375],0.4661419093608856,KK45ZIK,0.2696025597759833
117,1.0,[2052.0290024603346 1147.285192608735 2579.5114870324305 1603.116958543293],[2236.60546875 1441.90185546875 2391.809326171875 1512.008544921875],0.4001433253288269,AP05JEQ,0.31860438239483774
118,8.0,[1146.270315194938 1074.5325191498014 1620.6136505457832 1488.542350066628],[1315.513916015625 1321.985595703125 1445.8388671875 1386.9913330078125],0.4479728043079376,KH05ZIK,0.17100177016089488
118,1.0,[2050.535077944364 1151.9661159709453 2580.5222201249594 1607.6645889569786],[2231.985595703125 1443.562255859375 2408.797119140625 1512.31396484375],0.4007450342178345,AP05JEO,0.1363706652090978
119,8.0,[1144.860033014698 1075.830119738379 1621.6552408884947 1490.824499697183],[1309.7852783203125 1314.974853515625 1447.4307861328125 1388.107177734375],0.5659373998641968,KH05ZIK,0.4421669237596543
119,1.0,[2052.6561872866505 1155.520211992815 2583.8931841613057 1612.3976697674843],[2250.375732421875 1451.9461669921875 2423.349609375 1516.1524658203125],0.3551398813724518,AP05JEO,0.2541505164259823
120,6.0,[883.1740950259322 1536.190506215919 1649.8299012607981 2123.615531522369],[1159.8787841796875 1921.31982421875 1346.87744140625 2001.30908203125],0.6507821679115295,GY15OCJ,0.3083981052953082
120,8.0,[1142.7358630094686 1079.6740079425413 1620.671983079263 1495.862137284731],[1305.5079345703125 1318.9134521484375 1447.802001953125 1392.52294921875],0.5418465733528137,KH05ZZF,0.06461822039851846
120,1.0,[2052.666254201016 1161.0215560483541 2586.899012552037 1620.1631974687991],[2238.767333984375 1447.447509765625 2409.957275390625 1528.1143798828125],0.508051872253418,AP05JEO,0.19327541436142798
121,6.0,[876.7923555851992 1542.7036397208885 1648.4437062567747 2130.756283957712],[1146.9539794921875 1924.0982666015625 1369.992919921875 2008.6439208984375],0.6491029262542725,GY15OGJ,0.17619534336810003
121,8.0,[1139.9937093711442 1081.5054489262295 1619.9780589623565 1498.1965129597304],[1303.0352783203125 1320.1766357421875 1439.59130859375 1394.487060546875],0.5269202589988708,KH05ZZI,0.30275230537159026
121,1.0,[2051.0273752701955 1162.9228629156755 2587.8687908945763 1625.296249618786],[2248.363037109375 1460.786865234375 2406.3662109375 1522.944580078125],0.2524631917476654,AF05JEO,0.14332460622634752
122,6.0,[872.7546257979714 1551.2472300577872 1647.4642354248392 2140.363443811005],[1144.8037109375 1930.8988037109375 1347.63916015625 2016.8148193359375],0.6092975735664368,GY15OCJ,0.49326405036239007
122,1.0,[2051.0155216932826 1166.59209328395 2590.0344770435995 1631.210738797392],[2244.55615234375 1453.6700439453125 2412.72314453125 1532.6258544921875],0.4774889647960663,AP05JEQ,0.259578881592455
123,6.0,[868.0027311503152 1558.4851602259687 1646.1885504053078 2147.242942412041],[1137.106201171875 1938.6925048828125 1350.968994140625 2033.1895751953125],0.6595269441604614,GX15OGJ,0.31330447475013457
123,1.0,[2046.0626538762338 1172.1894599000495 2589.376127209083 1637.2240153228183],[2256.902587890625 1457.3675537109375 2418.605224609375 1537.1802978515625],0.5360107421875,AP05JEQ,0.10029006905715565
124,6.0,[865.0536169409747 1563.0951012960568 1645.1810832358524 2150.596695878312],[1142.525146484375 1953.60400390625 1336.6351318359375 2035.909912109375],0.6523033380508423,GY15OCJ,0.5291018780667797
124,1.0,[2042.8820323333057 1175.7833163773241 2589.8206248917386 1641.3477260910756],[2247.847412109375 1467.3695068359375 2398.44287109375 1536.3087158203125],0.36206430196762085,AF05JEQ,0.41364216549034616
125,6.0,[862.8778941239249 1570.1053073955554 1645.6338304974634 2153.7668572643056],[1138.956787109375 1964.9688720703125 1334.3314208984375 2048.402587890625],0.6058526635169983,GY15OGJ,0.4627468935086316
